Caption
*= Percentage change/share/price not interpretable or not calculable
**= Percentage change > 999.9 %
***= Provisional data

91 - Clocks and watches and parts thereof
Period	Commercial partner	Export	
		Value (CHF)	
	                  Uzbekistan	850,403	
	                  Venezuela	12,603,224	
	                  Viet Nam	600,029	
	                  Yemen	2,256,961	
	                  Zambia	274,070	
	                  Zimbabwe	47,064	
2001	                  Afghanistan	21,965	
	                  Albania	169,022	
	                  Algeria	3,211,265	
	                  Am. Oceania	15,463,755	
	                  Amer. Virgin	27,687,697	
	                  Andorra	4,580,129	
	                  Angola	112,547	
	                  Antigua	1,797,770	
	                  Argentina	20,535,786	
	                  Armenia	3,726,732	
	                  Aruba	4,720,757	
	                  Australia	111,586,556	
	                  Austria	126,506,503	
	                  Azerbaijan	1,994,886	
	                  Bahamas	52,262,042	
	                  Bahrain	38,717,930	
	                  Bangladesh	2,779,421	
	                  Barbados	1,490,037	
	                  Belarus	1,717,657	
	                  Belgium	97,098,918	
	                  Belize	3,627	
	                  Bermuda	3,534,909	
	                  Bhutan	167,654	
	                  Bolivia	1,191,735	
	                  Bosnia-Herzeg.	1,077,231	
	                  Botswana	1,300	
	                  Bouvet Island	124,750	
	                  Brazil	44,578,082	
	                  Brit. Virgin	4,648,357	
	                  Brunei	553,069	
	                  Bulgaria	2,617,045	
	                  Burkina Faso	11,292	
	                  Cabo Verde	1,244	
	                  Cambodia	86,993	
	                  Cameroon	86,173	
	                  Canada	62,490,104	
	                  Canary Islands	17,009	
	                  Cayman Islands	10,735,299	
	                  Chile	11,115,455	
	                  China	36,048,121	
	                  Colombia	7,878,586	
	                  Congo, Rep. of	40,678	
	                  Congo (RDC)	742,680	
	                  Costa Rica	2,760,780	
	                  Côte d'Ivoire	982,878	
	                  Croatia	3,958,112	
	                  Cuba	543,962	
	                  Cyprus	10,350,297	
	                  Czech Republic	11,000,491	
	                  Denmark	30,836,881	
	                  Djibouti	31,011	
	                  Dominica	505	
	                  Dominican Rep.	4,618,760	
	                  Ecuador	1,754,858	
	                  Egypt	14,460,161	
	                  El Salvador	254,199	
	                  Emirates, Arab	189,164,256	
	                  Estonia	537,464	
	                  Ethiopia	155,198	
	                  Finland	17,955,471	
	                  France	720,252,165	
	                  Gabon	3,679,015	
	                  Gambia	104,177	
	                  Georgia	580,856	
	                  Germany	783,211,468	
	                  Ghana	185,409	
	                  Gibraltar	1,387,358	
	                  Greece	73,609,878	
	                  Guadeloupe	8,569,346	
	                  Guatemala	1,459,345	
	                  Guiana, French	31,982	
	                  Guinea	150,732	
	                  Guinea, Equat.	100,036	
	                  Guyana	1,500	
	                  Haiti	120,572	
	                  Holy See	2,280	
	                  Honduras	163,679	
	                  Hong Kong	1,508,057,455	
	                  Hungary	23,424,501	
	                  Iceland	2,324,897	
	                  India	11,560,749	
	                  Indonesia	2,887,857	
	                  Iran	14,197,908	
	                  Iraq	23,781	
	                  Ireland	4,486,335	
	                  Israel	43,979,496	
	                  Italy	840,042,259	
	                  Jamaica	9,146,965	
	                  Japan	1,052,329,601	
	                  Jordan	12,897,980	
	                  Kazakhstan	6,342,182	
	                  Kenya	1,042,553	
	                  Korea (North)	6,294,995	
	                  Korea (South)	64,958,506	
	                  Kuwait	45,966,429	
	                  Kyrgyz, Rep.	179,555	
	                  Latvia	4,676,571	
	                  Lebanon	22,632,277	
	                  Lesotho	50,772	
	                  Liberia	1,457,589	
	                  Libya	3,588,372	
	                  Lithuania	1,866,370	
	                  Luxembourg	6,172,247	
	                  Macau	120,367	
	                  Macedonia	291,076	
	                  Madagascar	63,349	
	                  Malawi	55	
	                  Malaysia	27,532,641	
	                  Maldives	1,353,036	
	                  Mali	2,000	
	                  Malta	4,356,077	
	                  Martinique	91,081	
	                  Mauritania	5,872	
	                  Mauritius	2,899,014	
	                  Mexico	73,097,002	
	                  Micronesia	387	
	                  Moldova	3,884,340	
	                  Mongolia	325,943	
	                  Morocco	9,259,876	
	                  Mozambique	420,964	
	                  Myanmar	208,005	
	                  Namibia	159,090	
	                  Nepal	1,140,748	
	                  Netherlands	116,478,217	
	                  New Caledonia	176,548	
	                  New Zealand	2,213,797	
	                  Nicaragua	80,436	
	                  Niger	52,540	
	                  Nigeria	15,336,835	
	                  Norway	25,459,110	
	                  Oman	31,230,823	
	                  Pakistan	17,389,487	
	                  Palestine	255,526	
	                  Panama	95,979,824	
	                  Papua	34,375	
	                  Paraguay	7,513,717	
	                  Peru	752,482	
	                  Philippines	16,405,677	
	                  Pitcairn Isl.	6,382	
	                  Poland	24,274,359	
	                  Polynesia, Fr.	350,590	
	                  Portugal	83,730,488	
	                  Qatar	51,940,184	
	                  Réunion	354,273	
	                  Romania	4,753,938	
	                  Russia	115,619,617	
	                  San Marino	109,664	
	                  Sao Tomé	315,409	
	                  Saudi Arabia	172,814,692	
	                  Senegal	66,911	
	                  Seychelles	87,873	
	                  Sierra Leone	45,260	
	                  Singapore	438,419,810	
	                  Slovakia	2,041,940	
	                  Slovenia	3,032,656	
	                  South Africa	20,251,941	
	                  Spain	342,314,552	
	                  Sri Lanka	837,437	
	                  St Lucia	463,420	
	                  Sudan	29,193	
	                  Suriname	18,455	
	                  Sweden	48,299,124	
	                  Syria	12,334,218	
	                  Taiwan	195,588,411	
	                  Tanzania	552,307	
	                  Thailand	177,594,529	
	                  Togo	2,727	
	                  Trinidad	104,620	
	                  Tunisia	4,996,999	
	                  Turkey	50,444,046	
	                  Turkmenistan	1,829,900	
	                  Turks	723,454	
	                  Uganda	129,784	
	                  Ukraine	16,338,980	
	                  United Kingdom	509,773,693	
	                  Uruguay	7,221,224	
	                  USA	1,585,737,955	
	                  Uzbekistan	1,634,156	
	                  Vanuatu	264,741	
	                  Venezuela	20,098,735	
	                  Viet Nam	1,664,114	
	                  Yemen	2,362,304	
	                  Zambia	306,947	
	                  Zimbabwe	30,145	
2002	                  Albania	428,704	
	                  Algeria	4,589,703	
	                  Am. Oceania	14,819,631	
	                  Amer. Virgin	37,973,040	
	                  Andorra	4,189,569	
	                  Angola	55,382	
	                  Antigua	1,695,132	
	                  Argentina	10,583,604	
	                  Armenia	4,295,573	
	                  Aruba	7,593,813	
	                  Australia	102,263,704	
	                  Austria	100,449,647	
	                  Azerbaijan	4,158,280	
	                  Bahamas	16,562,338	
	                  Bahrain	35,238,475	
	                  Bangladesh	1,681,432	
	                  Barbados	1,464,660	
	                  Belarus	2,041,812	
	                  Belgium	77,186,636	
	                  Belize	46,711	
	                  Benin	367,935	
	                  Bermuda	5,061,415	
	                  Bhutan	70,127	
	                  Bolivia	1,870,547	
	                  Bosnia-Herzeg.	2,249,214	
	                  Botswana	470	
	                  Brazil	40,231,414	
	                  Brit. Virgin	12,488,550	
	                  Brunei	309,674	
	                  Bulgaria	2,298,022	
	                  Burkina Faso	350	
	                  Burundi	23,364	
	                  Cambodia	116,477	
	                  Cameroon	2,675	
	                  Canada	77,490,694	
	                  Canary Islands	32,730	
	                  Cayman Islands	16,390,167	
	                  Chile	10,111,333	
	                  China	94,313,265	
	                  Colombia	8,359,933	
	                  Congo, Rep. of	687,838	
	                  Congo (RDC)	4,652	
	                  Costa Rica	2,648,629	
	                  Côte d'Ivoire	676,341	
	                  Croatia	4,204,410	
	                  Cuba	89,360	
	                  Cyprus	9,047,389	
	                  Czech Republic	8,508,239	
	                  Denmark	25,748,006	
	                  Djibouti	25,622	
	                  Dominican Rep.	3,075,086	
